    81 1.01028E+00  1.00004E+00  2.08805E+02  9.42279E-01
    82 1.01039E+00  1.00002E+00  2.11499E+02  9.41618E-01
    83 1.01050E+00  1.00001E+00  2.14196E+02  9.40959E-01
    84 1.01061E+00  9.99991E-01  2.16895E+02  9.40301E-01
    85 1.01072E+00  9.99973E-01  2.19596E+02  9.39644E-01
    86 1.01082E+00  9.99956E-01  2.22300E+02  9.38989E-01
    87 1.01093E+00  9.99938E-01  2.25005E+02  9.38335E-01
    88 1.01104E+00  9.99919E-01  2.27714E+02  9.37683E-01
    89 1.01114E+00  9.99900E-01  2.30424E+02  9.37032E-01
    90 1.01125E+00  9.99880E-01  2.33137E+02  9.36383E-01
    91 1.01135E+00  9.99860E-01  2.35852E+02  9.35734E-01
    92 1.01146E+00  9.99839E-01  2.38570E+02  9.35087E-01
    93 1.01156E+00  9.99818E-01  2.41289E+02  9.34442E-01
    94 1.01166E+00  9.99796E-01  2.44011E+02  9.33798E-01
    95 1.01177E+00  9.99774E-01  2.46736E+02  9.33155E-01
    96 1.01187E+00  9.99751E-01  2.49462E+02  9.32513E-01
    97 1.01197E+00  9.99728E-01  2.52191E+02  9.31873E-01
    98 1.01207E+00  9.99704E-01  2.54923E+02  9.31234E-01
    99 1.01217E+00  9.99680E-01  2.57656E+02  9.30597E-01
   100 1.01227E+00  9.99655E-01  2.60392E+02  9.29961E-01
   101 1.01237E+00  9.99629E-01  2.63130E+02  9.29326E-01
   102 1.01247E+00  9.99603E-01  2.65871E+02  9.28692E-01
   103 1.01257E+00  9.99577E-01  2.68613E+02  9.28060E-01
   104 1.01267E+00  9.99550E-01  2.71358E+02  9.27429E-01
   105 1.01277E+00  9.99522E-01  2.74106E+02  9.26800E-01
   106 1.01286E+00  9.99494E-01  2.76855E+02  9.26171E-01
   107 1.01296E+00  9.99465E-01  2.79607E+02  9.25545E-01
   108 1.01306E+00  9.99436E-01  2.82361E+02  9.24919E-01
   109 1.01315E+00  9.99406E-01  2.85117E+02  9.24294E-01
   110 1.01325E+00  9.99376E-01  2.87876E+02  9.23671E-01
   111 1.01334E+00  9.99345E-01  2.90637E+02  9.23050E-01
   112 1.01343E+00  9.99313E-01  2.93400E+02  9.22429E-01
   113 1.01353E+00  9.99281E-01  2.96166E+02  9.21810E-01
   114 1.01362E+00  9.99249E-01  2.98933E+02  9.21192E-01
   115 1.01371E+00  9.99215E-01  3.01703E+02  9.20575E-01
   116 1.01380E+00  9.99181E-01  3.04475E+02  9.19960E-01
   117 1.01390E+00  9.99147E-01  3.07250E+02  9.19345E-01
   118 1.01399E+00  9.99112E-01  3.10027E+02  9.18732E-01
   119 1.01408E+00  9.99077E-01  3.12805E+02  9.18121E-01
   120 1.01417E+00  9.99041E-01  3.15587E+02  9.17510E-01
   121 1.01426E+00  9.99004E-01  3.18370E+02  9.16901E-01
   122 1.01434E+00  9.98967E-01  3.21156E+02  9.16293E-01
   123 1.01443E+00  9.98929E-01  3.23944E+02  9.15686E-01
   124 1.01452E+00  9.98890E-01  3.26734E+02  9.15081E-01
   125 1.01461E+00  9.98851E-01  3.29526E+02  9.14477E-01
   126 1.01469E+00  9.98812E-01  3.32321E+02  9.13874E-01
   127 1.01478E+00  9.98771E-01  3.35117E+02  9.13272E-01
   128 1.01486E+00  9.98731E-01  3.37916E+02  9.12671E-01
   129 1.01495E+00  9.98689E-01  3.40718E+02  9.12072E-01
   130 1.01503E+00  9.98647E-01  3.43521E+02  9.11473E-01
   131 1.01512E+00  9.98605E-01  3.46327E+02  9.10876E-01
   132 1.01520E+00  9.98561E-01  3.49135E+02  9.10280E-01
   133 1.01528E+00  9.98518E-01  3.51945E+02  9.09686E-01
   134 1.01536E+00  9.98473E-01  3.54757E+02  9.09092E-01
   135 1.01545E+00  9.98428E-01  3.57571E+02  9.08500E-01
   136 1.01553E+00  9.98383E-01  3.60388E+02  9.07909E-01
   137 1.01561E+00  9.98336E-01  3.63207E+02  9.07319E-01
   138 1.01569E+00  9.98289E-01  3.66028E+02  9.06730E-01
   139 1.01577E+00  9.98242E-01  3.68851E+02  9.06142E-01
   140 1.01585E+00  9.98194E-01  3.71677E+02  9.05556E-01
   141 1.01592E+00  9.98145E-01  3.74504E+02  9.04970E-01
   142 1.01600E+00  9.98096E-01  3.77334E+02  9.04386E-01
   143 1.01608E+00  9.98046E-01  3.80166E+02  9.03803E-01
   144 1.01616E+00  9.97996E-01  3.83000E+02  9.03221E-01
   145 1.01623E+00  9.97945E-01  3.85837E+02  9.02640E-01
   146 1.01631E+00  9.97893E-01  3.88675E+02  9.02060E-01
   147 1.01638E+00  9.97840E-01  3.91516E+02  9.01482E-01
   148 1.01646E+00  9.97787E-01  3.94359E+02  9.00904E-01
   149 1.01653E+00  9.97734E-01  3.97204E+02  9.00328E-01
   150 1.01660E+00  9.97680E-01  4.00051E+02  8.99752E-01
   151 1.01668E+00  9.97625E-01  4.02901E+02  8.99178E-01
   152 1.01675E+00  9.97569E-01  4.05752E+02  8.98605E-01
   153 1.01682E+00  9.97513E-01  4.08606E+02  8.98032E-01
   154 1.01689E+00  9.97457E-01  4.11462E+02  8.97461E-01
   155 1.01696E+00  9.97400E-01  4.14320E+02  8.96891E-01
   156 1.01703E+00  9.97342E-01  4.17180E+02  8.96322E-01
   157 1.01710E+00  9.97283E-01  4.20042E+02  8.95754E-01
   158 1.01717E+00  9.97224E-01  4.22907E+02  8.95187E-01
   159 1.01724E+00  9.97164E-01  4.25774E+02  8.94621E-01
   160 1.01731E+00  9.97104E-01  4.28642E+02  8.94056E-01
   161 1.01738E+00  9.97043E-01  4.31513E+02  8.93492E-01
   162 1.01744E+00  9.96982E-01  4.34387E+02  8.92929E-01
   163 1.01751E+00  9.96920E-01  4.37262E+02  8.92367E-01
   164 1.01758E+00  9.96857E-01  4.40139E+02  8.91806E-01
   165 1.01764E+00  9.96794E-01  4.43019E+02  8.91246E-01
   166 1.01771E+00  9.96730E-01  4.45901E+02  8.90686E-01
   167 1.01777E+00  9.96665E-01  4.48784E+02  8.90128E-01
   168 1.01784E+00  9.96600E-01  4.51670E+02  8.89571E-01
   169 1.01790E+00  9.96535E-01  4.54559E+02  8.89014E-01
