"rho","rhou","rhov","E","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,5.199999809265e+00,-1.480000019073e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,5.600000381470e+00,-1.439999961853e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,6.000000000000e+00,-1.400000000000e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,6.399999618530e+00,-1.360000038147e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,6.800000190735e+00,-1.319999980927e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,7.199999809265e+00,-1.280000019073e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,7.600000381470e+00,-1.239999961853e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,8.000000000000e+00,-1.200000000000e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,8.399999618530e+00,-1.160000038147e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,8.800000190735e+00,-1.119999980927e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,9.199999809265e+00,-1.080000019073e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,9.600000381470e+00,-1.039999961853e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.000000000000e+01,-1.000000000000e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.039999961853e+01,-9.600000381470e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.080000019073e+01,-9.199999809265e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.119999980927e+01,-8.800000190735e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.160000038147e+01,-8.399999618530e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.200000000000e+01,-8.000000000000e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.239999961853e+01,-7.599999904633e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.280000019073e+01,-7.199999809265e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.319999980927e+01,-6.800000190735e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.360000038147e+01,-6.400000095367e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.400000000000e+01,-6.000000000000e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.439999961853e+01,-5.599999904633e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.480000019073e+01,-5.199999809265e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.519999980927e+01,-4.800000190735e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.560000038147e+01,-4.400000095367e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.600000000000e+01,-4.000000000000e+00,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000238419e+00,5.785714626312e+00,1,1.639999961853e+01,-3.599999904633e+00,1.000000000000e+01,0.000000000000e+00
1.000000119209e+00,2.000000000000e+00,2.000000715256e+00,5.785715579987e+00,1,1.679999923706e+01,-3.200000047684e+00,1.000000000000e+01,0.000000000000e+00
1.000000596046e+00,2.000000476837e+00,2.000002622604e+00,5.785719871521e+00,1,1.720000076294e+01,-2.799999952316e+00,1.000000000000e+01,0.000000000000e+00
1.000001668930e+00,2.000001668930e+00,2.000006437302e+00,5.785727977753e+00,1,1.760000038147e+01,-2.400000095367e+00,1.000000000000e+01,0.000000000000e+00
1.000000834465e+00,2.000000715256e+00,2.000006675720e+00,5.785727977753e+00,1,1.800000000000e+01,-2.000000000000e+00,1.000000000000e+01,0.000000000000e+00
9.999912977219e-01,1.999991297722e+00,1.999987721443e+00,5.785685062408e+00,1,1.839999961853e+01,-1.600000023842e+00,1.000000000000e+01,0.000000000000e+00
9.999744296074e-01,1.999974608421e+00,1.999950408936e+00,5.785603046417e+00,1,1.879999923706e+01,-1.200000047684e+00,1.000000000000e+01,0.000000000000e+00
9.999573826790e-01,1.999958038330e+00,1.999910354614e+00,5.785514831543e+00,1,1.920000076294e+01,-8.000000119209e-01,1.000000000000e+01,0.000000000000e+00
9.999453425407e-01,1.999946594238e+00,1.999882578850e+00,5.785454750061e+00,1,1.960000038147e+01,-4.000000059605e-01,1.000000000000e+01,0.000000000000e+00
9.999924302101e-01,1.999993920326e+00,1.999976992607e+00,5.785667419434e+00,1,2.000000000000e+01,0.000000000000e+00,1.000000000000e+01,0.000000000000e+00
1.000115394592e+00,2.000114917755e+00,2.000223875046e+00,5.786218643188e+00,1,2.039999961853e+01,4.000000059605e-01,1.000000000000e+01,0.000000000000e+00
1.000160813332e+00,2.000155448914e+00,2.000313043594e+00,5.786409854889e+00,1,2.079999923706e+01,8.000000119209e-01,1.000000000000e+01,0.000000000000e+00
1.000014901161e+00,2.000004529953e+00,2.000020265579e+00,5.785741806030e+00,1,2.120000076294e+01,1.200000047684e+00,1.000000000000e+01,0.000000000000e+00
9.999114871025e-01,1.999898195267e+00,1.999814987183e+00,5.785273551941e+00,1,2.160000038147e+01,1.600000023842e+00,1.000000000000e+01,0.000000000000e+00
9.999684691429e-01,1.999951004982e+00,1.999933362007e+00,5.785530090332e+00,1,2.200000000000e+01,2.000000000000e+00,1.000000000000e+01,0.000000000000e+00
1.000021934509e+00,1.999996542931e+00,2.000046730042e+00,5.785768032074e+00,1,2.239999961853e+01,2.400000095367e+00,1.000000000000e+01,0.000000000000e+00
1.000025749207e+00,1.999989032745e+00,2.000059366226e+00,5.785772800446e+00,1,2.279999923706e+01,2.799999952316e+00,1.000000000000e+01,0.000000000000e+00
1.000018477440e+00,1.999967455864e+00,2.000048398972e+00,5.785717964172e+00,1,2.320000076294e+01,3.200000047684e+00,1.000000000000e+01,0.000000000000e+00
1.000010371208e+00,1.999941229820e+00,2.000036954880e+00,5.785655021667e+00,1,2.360000038147e+01,3.599999904633e+00,1.000000000000e+01,0.000000000000e+00
1.000006318092e+00,1.999914407730e+00,2.000039339066e+00,5.785612583160e+00,1,2.400000000000e+01,4.000000000000e+00,1.000000000000e+01,0.000000000000e+00
1.000012516975e+00,1.999890923500e+00,2.000071287155e+00,5.785619735718e+00,1,2.439999961853e+01,4.400000095367e+00,1.000000000000e+01,0.000000000000e+00
1.000029087067e+00,1.999866604805e+00,2.000127792358e+00,5.785659313202e+00,1,2.479999923706e+01,4.800000190735e+00,1.000000000000e+01,0.000000000000e+00
1.000051736832e+00,1.999830245972e+00,2.000155448914e+00,5.785607814789e+00,1,2.520000076294e+01,5.199999809265e+00,1.000000000000e+01,0.000000000000e+00
1.000075697899e+00,1.999764680862e+00,1.999918818474e+00,5.784967899323e+00,1,2.560000038147e+01,5.599999904633e+00,1.000000000000e+01,0.000000000000e+00
1.000098228455e+00,1.999642610550e+00,1.998507976532e+00,5.781872272491e+00,1,2.600000000000e+01,6.000000000000e+00,1.000000000000e+01,0.000000000000e+00
1.000110268593e+00,1.999394416809e+00,1.992954611778e+00,5.770302295685e+00,1,2.639999961853e+01,6.400000095367e+00,1.000000000000e+01,0.000000000000e+00
1.000035643578e+00,1.998744249344e+00,1.975355744362e+00,5.734393596649e+00,1,2.679999923706e+01,6.800000190735e+00,1.000000000000e+01,0.000000000000e+00
9.994550943375e-01,1.996585130692e+00,1.929075598717e+00,5.641393661499e+00,1,2.720000076294e+01,7.199999809265e+00,1.000000000000e+01,0.000000000000e+00
9.968132972717e-01,1.989480853081e+00,1.827867031097e+00,5.441645145416e+00,1,2.760000038147e+01,7.599999904633e+00,1.000000000000e+01,0.000000000000e+00
9.854508042336e-01,1.964751005173e+00,1.641153812408e+00,5.077554702759e+00,1,2.800000000000e+01,8.000000000000e+00,1.000000000000e+01,0.000000000000e+00
9.417261481285e-01,1.876962661743e+00,1.358912944794e+00,4.494835853577e+00,1,2.839999961853e+01,8.399999618530e+00,1.000000000000e+01,0.000000000000e+00
8.279774785042e-01,1.650063037872e+00,1.043796777725e+00,3.672960758209e+00,1,2.879999923706e+01,8.800000190735e+00,1.000000000000e+01,0.000000000000e+00
6.336758732796e-01,1.262556433678e+00,7.810479402542e-01,2.685625076294e+00,1,2.920000076294e+01,9.199999809265e+00,1.000000000000e+01,0.000000000000e+00
4.357488453388e-01,8.676386475563e-01,6.346323490143e-01,1.884795665741e+00,1,2.960000038147e+01,9.600000381470e+00,1.000000000000e+01,0.000000000000e+00
